Produkt-ID,Kategorie,Hersteller,Monat,Jahr,Kalendermonat,Preis [€],Wettbewerberpreis [€],Marketingbudget [€],Marketingbudget geschätzt,Kampagne aktiv,Lagerbestand [Stück],Bewertung Durchschnitt,Bewertung ergänzt,Anzahl Bewertungen,Umsatz Vormonat [€],Neues Produkt,Durchschnitt 3 Vormonate [€],Hat 3-Monats-Durchschnitt,Umsatz Vorjahresmonat [€],Hat Vorjahreswert,Umsatz [€],Umsatz korrigiert
PR-0000,Saatgut,Hortica,2024-01-01,2024,1,1.5,1.41,89.61,0,0,67,3.7,0,39,,1,,0,,0,6.12,0
PR-0000,Saatgut,Hortica,2024-02-01,2024,2,1.5,1.69,88.16,0,1,69,3.7,0,39,6.12,0,,0,,0,13.64,0
PR-0000,Saatgut,Hortica,2024-03-01,2024,3,1.5,1.61,117.38,0,1,64,3.7,0,39,13.64,0,,0,,0,16.75,0
PR-0000,Saatgut,Hortica,2024-04-01,2024,4,1.5,1.4,99.85,0,0,72,3.7,0,39,16.75,0,12.170000000000002,1,,0,22.68,0
PR-0000,Saatgut,Hortica,2024-05-01,2024,5,1.5,1.45,101.72,0,0,35,3.7,0,39,22.68,0,17.69,1,,0,11.98,0
PR-0000,Saatgut,Hortica,2024-06-01,2024,6,1.5,1.36,72.09,0,1,174,3.7,0,39,11.98,0,17.136666666666667,1,,0,9.44,0
PR-0000,Saatgut,Hortica,2024-07-01,2024,7,1.5,1.71,73.84,0,0,13,3.7,1,39,9.44,0,14.7,1,,0,6.4,0
PR-0000,Saatgut,Hortica,2024-08-01,2024,8,1.5,1.51,109.5,0,1,40,3.7,0,39,6.4,0,9.273333333333332,1,,0,7.86,0
PR-0000,Saatgut,Hortica,2024-09-01,2024,9,1.5,1.68,50.75,0,0,47,3.7,0,39,7.86,0,7.899999999999999,1,,0,5.68,0
PR-0000,Saatgut,Hortica,2024-10-01,2024,10,1.5,1.43,59.5,0,0,76,3.7,0,39,5.68,0,6.646666666666667,1,,0,4.24,0
PR-0000,Saatgut,Hortica,2024-11-01,2024,11,1.5,1.66,46.78,0,0,98,3.7,0,39,4.24,0,5.926666666666667,1,,0,6.08,0
PR-0000,Saatgut,Hortica,2024-12-01,2024,12,1.5,1.3,41.9,0,0,111,3.7,0,39,6.08,0,5.333333333333333,1,,0,5.76,0
PR-0000,Saatgut,Hortica,2025-01-01,2025,1,1.5,1.72,73.63,0,0,124,3.7,0,39,5.76,0,5.36,1,6.12,1,4.29,0
PR-0000,Saatgut,Hortica,2025-02-01,2025,2,1.5,1.69,70.88,0,1,60,3.7,0,39,4.29,0,5.376666666666666,1,13.64,1,13.75,0
PR-0000,Saatgut,Hortica,2025-03-01,2025,3,1.5,1.44,169.66,0,0,82,3.7,0,39,13.75,0,7.933333333333334,1,16.75,1,16.23,0
PR-0000,Saatgut,Hortica,2025-04-01,2025,4,1.5,1.62,109.82,0,0,47,3.7,0,39,16.23,0,11.423333333333332,1,22.68,1,22.53,0
PR-0000,Saatgut,Hortica,2025-05-01,2025,5,1.5,1.61,149.78,0,0,150,3.7,0,39,22.53,0,17.503333333333334,1,11.98,1,12.08,0
PR-0000,Saatgut,Hortica,2025-06-01,2025,6,1.5,1.68,116.14,0,0,77,3.7,0,39,12.08,0,16.94666666666667,1,9.44,1,11.9,0
PR-0000,Saatgut,Hortica,2025-07-01,2025,7,1.5,1.41,75.92,0,0,45,3.7,0,39,11.9,0,15.503333333333332,1,6.4,1,5.39,0
PR-0000,Saatgut,Hortica,2025-08-01,2025,8,1.5,1.48,127.38,0,0,48,3.7,0,39,5.39,0,9.79,1,7.86,1,6.7,0
PR-0000,Saatgut,Hortica,2025-09-01,2025,9,1.5,1.66,85.575,1,0,108,3.7,0,39,6.7,0,7.996666666666666,1,5.68,1,4.59,0
PR-0000,Saatgut,Hortica,2025-10-01,2025,10,1.5,1.63,109.04,0,0,100,3.7,0,39,4.59,0,5.56,1,4.24,1,4.57,0
PR-0000,Saatgut,Hortica,2025-11-01,2025,11,1.5,1.45,106.42,0,0,70,3.7,0,39,4.57,0,5.286666666666666,1,6.08,1,4.46,0
PR-0000,Saatgut,Hortica,2025-12-01,2025,12,1.5,1.66,84.33,0,0,47,3.7,0,39,4.46,0,4.54,1,5.76,1,5.33,0
PR-0001,Bewaesserung,GartenStern,2024-01-01,2024,1,102.04,88.17,88.22,0,0,45,3.6,0,31,,1,,0,,0,274.66,0
PR-0001,Bewaesserung,GartenStern,2024-02-01,2024,2,102.04,110.67,89.04,0,0,63,3.6,0,31,274.66,0,,0,,0,420.94,0
PR-0001,Bewaesserung,GartenStern,2024-03-01,2024,3,102.04,93.06,55.16,0,0,50,3.6,0,31,420.94,0,,0,,0,547.51,0
PR-0001,Bewaesserung,GartenStern,2024-04-01,2024,4,102.04,95.49,94.6,0,0,106,3.6,0,31,547.51,0,414.37000000000006,1,,0,592.36,0
PR-0001,Bewaesserung,GartenStern,2024-05-01,2024,5,102.04,101.83,138.84,0,0,43,3.6,1,31,592.36,0,520.27,1,,0,1202.76,0
PR-0001,Bewaesserung,GartenStern,2024-06-01,2024,6,102.04,100.5,174.94,0,1,77,3.6,0,31,1202.76,0,780.8766666666667,1,,0,2165.33,0
PR-0001,Bewaesserung,GartenStern,2024-07-01,2024,7,102.04,102.67,98.76,0,0,6,3.6,0,31,2165.33,0,1320.15,1,,0,1157.1,0
PR-0001,Bewaesserung,GartenStern,2024-08-01,2024,8,102.04,103.41,132.09,0,0,36,3.6,0,31,1157.1,0,1508.3966666666668,1,,0,1269.22,0
PR-0001,Bewaesserung,GartenStern,2024-09-01,2024,9,102.04,96.88,94.07,0,0,88,3.6,1,31,1269.22,0,1530.55,1,,0,816.24,0
PR-0001,Bewaesserung,GartenStern,2024-10-01,2024,10,102.04,92.1,75.24,0,1,66,3.6,0,31,816.24,0,1080.8533333333332,1,,0,553.56,0
PR-0001,Bewaesserung,GartenStern,2024-11-01,2024,11,102.04,110.26,83.01,0,0,46,3.6,0,31,553.56,0,879.6733333333333,1,,0,404.37,0
PR-0001,Bewaesserung,GartenStern,2024-12-01,2024,12,102.04,98.98,76.71,0,0,70,3.6,1,31,404.37,0,591.39,1,,0,261.28,0
PR-0001,Bewaesserung,GartenStern,2025-01-01,2025,1,102.04,102.22,83.69,0,0,65,3.6,0,31,261.28,0,406.40333333333336,1,274.66,1,251.29,0
PR-0001,Bewaesserung,GartenStern,2025-02-01,2025,2,102.04,106.47,88.53,1,1,23,3.6,0,31,251.29,0,305.64666666666665,1,420.94,1,519.16,0
PR-0001,Bewaesserung,GartenStern,2025-03-01,2025,3,102.04,114.58,103.76,0,0,94,3.6,0,31,519.16,0,343.91,1,547.51,1,242.5,0
PR-0001,Bewaesserung,GartenStern,2025-04-01,2025,4,102.04,108.39,101.67,0,0,160,3.6,0,31,242.5,0,337.65,1,592.36,1,908.67,0
PR-0001,Bewaesserung,GartenStern,2025-05-01,2025,5,102.04,88.13,163.74,0,1,84,3.6,0,31,908.67,0,556.7766666666666,1,1202.76,1,1707.1,0
PR-0001,Bewaesserung,GartenStern,2025-06-01,2025,6,102.04,112.4,159.96,0,0,112,3.6,0,31,1707.1,0,952.7566666666668,1,2165.33,1,1820.49,0
PR-0001,Bewaesserung,GartenStern,2025-07-01,2025,7,102.04,117.02,122.51,0,1,93,3.6,0,31,1820.49,0,1478.753333333333,1,1157.1,1,2259.36,0
PR-0001,Bewaesserung,GartenStern,2025-08-01,2025,8,102.04,101.2,72.37,0,0,90,3.6,0,31,2259.36,0,1928.9833333333331,1,1269.22,1,1573.96,0
PR-0001,Bewaesserung,GartenStern,2025-09-01,2025,9,102.04,116.42,63.33,0,0,95,3.6,0,31,1573.96,0,1884.6033333333328,1,816.24,1,917.57,0
PR-0001,Bewaesserung,GartenStern,2025-10-01,2025,10,102.04,103.49,99.84,0,0,169,3.6,0,31,917.57,0,1583.63,1,553.56,1,310.08,0
PR-0001,Bewaesserung,GartenStern,2025-11-01,2025,11,102.04,100.8,60.82,0,1,15,3.6,0,31,310.08,0,933.87,1,404.37,1,424.4,0
PR-0001,Bewaesserung,GartenStern,2025-12-01,2025,12,102.04,96.88,50.23,0,0,43,3.6,0,31,424.4,0,550.6833333333332,1,261.28,1,282.05,0
PR-0002,Duengemittel,BioGruen,2024-01-01,2024,1,5.76,6.03,62.58,0,0,28,4.3,0,44,,1,,0,,0,36.27,0
PR-0002,Duengemittel,BioGruen,2024-02-01,2024,2,5.76,5.29,66.68,0,0,52,4.3,0,44,36.27,0,,0,,0,42.26,0
PR-0002,Duengemittel,BioGruen,2024-03-01,2024,3,5.76,5.08,90.715,1,0,97,4.3,0,44,42.26,0,,0,,0,75.94,0
PR-0002,Duengemittel,BioGruen,2024-04-01,2024,4,5.76,4.94,102.92,0,0,59,4.3,0,44,75.94,0,51.489999999999846,1,,0,78.94,0
PR-0002,Duengemittel,BioGruen,2024-05-01,2024,5,5.76,5.4,60.01,0,1,43,4.3,0,44,78.94,0,65.71333333333318,1,,0,98.21,0
PR-0002,Duengemittel,BioGruen,2024-06-01,2024,6,5.76,5.58,90.84,0,0,54,4.3,0,44,98.21,0,84.36333333333317,1,,0,47.82,0
PR-0002,Duengemittel,BioGruen,2024-07-01,2024,7,5.76,5.85,89.6,0,0,116,4.3,0,44,47.82,0,74.98999999999985,1,,0,51.55,0
PR-0002,Duengemittel,BioGruen,2024-08-01,2024,8,5.76,5.4,71.92,0,0,67,4.3,0,44,51.55,0,65.85999999999984,1,,0,52.85,0
PR-0002,Duengemittel,BioGruen,2024-09-01,2024,9,5.76,6.6,117.17,0,0,24,4.3,0,44,52.85,0,50.739999999999846,1,,0,61.11,0
PR-0002,Duengemittel,BioGruen,2024-10-01,2024,10,5.76,5.4,78.63,0,0,78,4.3,0,44,61.11,0,55.169999999999845,1,,0,55.56,0
PR-0002,Duengemittel,BioGruen,2024-11-01,2024,11,5.76,5.66,111.93,0,0,109,4.3,0,44,55.56,0,56.50666666666651,1,,0,43.43,0
PR-0002,Duengemittel,BioGruen,2024-12-01,2024,12,5.76,5.07,99.04,0,0,81,4.3,0,44,43.43,0,53.36666666666651,1,,0,38.15,0
PR-0002,Duengemittel,BioGruen,2025-01-01,2025,1,5.76,5.35,103.52,0,0,95,4.3,0,44,38.15,0,45.713333333333175,1,36.27,1,39.1,0
PR-0002,Duengemittel,BioGruen,2025-02-01,2025,2,5.76,4.98,56.32,0,0,70,4.3,0,44,39.1,0,40.22666666666652,1,42.26,1,38.92,0
PR-0002,Duengemittel,BioGruen,2025-03-01,2025,3,5.76,5.86,105.01,0,0,33,4.3,0,44,38.92,0,38.72333333333318,1,75.94,1,87.11,0
PR-0002,Duengemittel,BioGruen,2025-04-01,2025,4,5.76,6.19,106.29,0,0,68,4.3,1,44,87.11,0,55.04333333333318,1,78.94,1,76.39,0
